time |	latitude |	longitude |	depth |	mag |	magType
1980-10-10T15:39:09.800Z	36.221	1.611	10	6.2	mb
1980-10-11T07:09:57.000Z	73.353	54.997	0	5.8	mb
1980-10-12T03:34:14.100Z	49.958	79.085	0	5.9	mb
1980-10-19T15:03:35.400Z	-6.108	145.52	125	5.8	mb
1980-10-19T17:24:09.900Z	32.762	48.572	42	5.8	ms
1980-10-23T23:10:41.200Z	-6.605	129.621	160	5.8	mb
1980-10-24T03:25:34.400Z	-21.989	170.165	33	6.7	ms
1980-10-24T14:53:35.100Z	18.211	-98.24	72	6.4	mb
1980-10-25T07:00:07.900Z	-21.982	170.025	33	6.7	ms
1980-10-25T11:00:05.100Z	-21.89	169.853	33	7.2	ms
1980-10-25T16:20:04.800Z	-22.313	170.38	33	6.5	ms
1980-10-26T05:14:19.100Z	11.751	125.502	48	6.1	ms
1980-10-27T13:04:54.900Z	-13.059	166.129	33	6.2	ms
1980-10-29T17:44:14.000Z	-21.492	169.469	33	6.4	ms
1980-10-29T18:45:13.600Z	8.398	93.35	33	6.2	ms
1980-10-30T09:53:06.300Z	-22.238	169.546	33	5.8	ms
1980-11-01T22:52:19.600Z	18.954	-107.628	33	6.1	ms
1980-11-04T20:26:00.700Z	53.817	160.741	33	5.9	mb
1980-11-08T10:27:34.000Z	41.117	-124.253	19	7.2	mw
1980-11-11T10:36:58.200Z	-51.422	28.796	10	6.7	ms
1980-11-12T05:50:20.400Z	19.441	-69.607	33	5.9	mb
1980-11-19T19:00:46.900Z	27.394	88.752	17	6.1	ms
1980-11-20T19:14:56.800Z	-6.064	149.286	38	5.8	ms
1980-11-23T18:34:53.800Z	40.914	15.366	10	6.9	ms
1980-11-26T23:49:02.000Z	40.385	141.307	95	5.8	mb
1980-11-30T12:24:39.800Z	-19.426	-175.85	202	6	mb
1980-12-08T19:13:45.300Z	-14.835	166.838	33	5.9	ms
1980-12-11T18:15:03.500Z	-21.272	-68.153	80	6.1	mb
1980-12-14T03:47:06.600Z	49.932	79.005	0	5.9	mb
1980-12-14T11:05:41.600Z	-6.101	149.792	56	5.8	mb
1980-12-15T08:12:45.400Z	-17.593	-172.3	33	6.3	ms
1980-12-17T00:47:54.700Z	-21.417	169.875	86	6	mb
1980-12-17T16:21:58.800Z	49.479	-129.496	10	6.8	ms
1980-12-18T12:34:15.600Z	36.009	44.67	33	5.8	ms
1980-12-19T01:16:56.000Z	34.587	50.652	33	5.8	ms
1980-12-19T02:57:57.400Z	-21.339	-174.359	33	6.1	ms
1980-12-19T23:32:41.900Z	30.581	140.643	82	6.2	mb
1980-12-21T18:25:41.100Z	-9.047	158.42	28	5.9	ms
1980-12-23T09:53:42.600Z	-16.29	178.165	33	5.9	mb
1980-12-27T04:09:08.200Z	50.04	79.046	0	5.9	mb
1980-12-31T10:32:11.000Z	46.06	151.453	33	6.5	ms
1981-01-02T15:39:47.300Z	29.244	128.136	242	6.1	mb
1981-01-18T03:06:45.500Z	-61.091	-55.426	22	6	mb
1981-01-18T09:43:35.700Z	38.489	142.972	33	5.8	ms
1981-01-18T11:46:53.700Z	38.51	142.977	33	5.9	ms
1981-01-18T18:11:28.400Z	38.58	142.82	33	6.2	ms
1981-01-18T18:17:24.400Z	38.64	142.75	33	6.9	ms
1981-01-19T01:14:05.400Z	38.599	142.877	33	6.1	ms
1981-01-19T15:11:01.000Z	-4.576	139.232	33	6.7	ms
1981-01-19T21:44:25.700Z	-3.471	146.13	33	6.1	ms
1981-01-22T19:34:40.100Z	38.215	142.672	20	6.4	ms
1981-01-23T04:58:31.500Z	42.524	142.122	116	6.3	mb
1981-01-23T10:22:34.900Z	38.149	142.775	33	5.9	ms
1981-01-23T21:13:51.700Z	30.927	101.098	33	6.8	ms
1981-01-23T21:54:41.600Z	-29.682	60.839	10	6.8	ms
1981-01-30T08:52:44.100Z	51.744	176.274	33	7	ms
1981-01-31T02:29:38.300Z	-11.905	166.421	68	5.8	mb
1981-02-01T22:43:27.540Z	53.03	162.406	33	5.9	mb
1981-02-17T15:18:33.700Z	-21.743	169.377	29.9	6.7	ms
1981-02-18T15:48:10.690Z	29.328	130.216	34	5.9	ms
1981-02-19T08:23:02.210Z	-21.541	169.462	33	6	ms
1981-02-19T19:36:11.670Z	44.639	149.342	33	5.9	mb
1981-02-22T21:45:45.150Z	-22.198	174.827	33	6.2	ms
1981-02-23T08:02:16.000Z	36.338	71.393	95.9	5.9	mw
1981-02-24T05:52:47.630Z	-21.382	169.162	33	5.9	ms
1981-02-24T06:45:09.670Z	28.314	129.41	43	5.9	ms
1981-02-24T16:17:01.590Z	-6.06	148.745	70.6	5.9	mb
1981-02-24T20:53:38.470Z	38.222	22.934	33	6.7	ms
1981-02-25T02:35:53.380Z	38.125	23.141	33	6.4	ms
