time |	latitude |	longitude |	depth |	mag |	magType
1990-09-08T20:31:57.750Z	-20.548	-174.173	33	6	mw
1990-09-09T05:35:45.910Z	-5.178	151.729	73.8	6	mw
1990-09-14T09:20:18.910Z	-60.689	-22.794	33	6	mw
1990-09-17T13:47:26.640Z	-53.155	159.632	10	6.4	mw
1990-09-23T06:50:33.090Z	-14.989	-173.632	33	6	mw
1990-09-23T17:54:02.960Z	-17.732	167.612	10	6.4	mw
1990-09-23T20:33:49.730Z	-6.726	130.373	33	6.5	ms
1990-09-23T21:13:07.460Z	33.267	138.643	10	6.5	mw
1990-09-23T22:09:04.270Z	33.189	138.685	10	6.2	ms
1990-09-28T19:44:47.120Z	-13.559	167.079	176	6.7	mw
1990-09-30T19:05:02.460Z	24.248	125.215	35	6.1	mw
1990-10-10T01:00:05.500Z	-19.503	-66.618	266	6.6	mw
1990-10-10T05:54:53.540Z	-23.497	179.029	548.5	6.1	mw
1990-10-15T01:35:44.560Z	-2.211	92.249	32.2	6.8	mw
1990-10-17T14:30:13.160Z	-10.97	-70.776	598.8	7	mw
1990-10-25T11:01:38.720Z	8.307	126.462	44.1	6.5	mw
1990-10-26T05:49:37.940Z	-35.143	-16.426	10	6.1	mw
1990-11-06T18:45:52.230Z	28.251	55.462	10.6	6.6	mw
1990-11-06T20:14:29.740Z	53.452	169.871	24.8	7.1	mw
1990-11-12T12:28:51.520Z	42.959	78.071	19.1	6.4	mw
1990-11-15T02:34:32.400Z	3.908	97.457	48.4	6.7	mw
1990-11-21T01:48:26.400Z	51.65	-171.331	33	6	mw
1990-11-22T20:49:06.740Z	-5.575	150.993	28.7	6.3	mw
1990-11-23T22:35:34.710Z	4.707	-75.574	144.6	6.1	mw
1990-11-29T20:58:11.080Z	-28.041	-179.707	415	6.1	mw
1990-12-05T16:08:51.460Z	-5.264	131.37	75.1	6.1	mw
1990-12-10T09:34:33.030Z	-5.94	142.282	32.4	6	mw
1990-12-11T14:41:42.550Z	-15.461	-173.117	12.8	6.4	mw
1990-12-13T03:01:48.050Z	23.916	121.636	12.1	6.3	mw
1990-12-13T12:26:40.750Z	1.116	124.034	33	6.2	mw
1990-12-13T19:50:17.880Z	23.722	121.627	10	6.7	mw
1990-12-17T11:00:29.850Z	6.638	-81.926	19.3	6.3	mw
1990-12-19T13:48:22.690Z	52.618	160.716	21.7	6	mw
1990-12-21T05:29:28.720Z	-20.467	-174.161	13.3	6.8	mw
1990-12-21T06:57:42.990Z	41.004	22.3	13.3	6.1	mw
1990-12-22T17:27:54.840Z	9.869	-84.302	17.3	6	mw
1990-12-29T13:23:54.320Z	8.257	94.061	18	6.1	mw
1990-12-30T19:14:18.930Z	-5.097	150.967	178.6	7.5	mw
1991-01-01T00:06:31.400Z	18.068	-105.847	35	6.3	mw
1991-01-01T17:28:02.490Z	-21.208	-174.149	29.1	6	mw
1991-01-03T13:18:49.280Z	-7.179	148.54	14	6.2	mw
1991-01-05T14:57:11.590Z	23.613	95.901	19.7	7	mw
1991-01-08T22:04:09.490Z	-18.057	-173.534	32.9	6.2	mw
1991-01-09T15:08:53.580Z	-5.396	151.837	27.7	6.2	mw
